anios_esc,ingocup,hrsocup,clase2
0,1000,36,1
9,0,0,2
5,0,0,4
19,0,48,1
6,0,0,3
0,0,0,0
6,834,14,1
9,0,0,1
12,0,48,1
6,8600,56,1
6,55470,3,1
12,0,0,4
0,0,0,0
0,0,0,4
6,12040,46,1
18,5000,45,1
8,0,0,4
12,0,0,4
1,1720,0,1
14,0,0,4
6,860,9,1
8,0,21,1
2,7740,53,1
12,0,48,1
11,10750,45,1
17,0,45,1
11,0,0,4
9,8600,57,1
6,0,0,4
6,8600,45,1
6,0,0,4
6,0,36,1
11,50000,54,1
9,0,24,1
17,0,40,1
0,0,0,0
0,0,0,0
17,0,40,1
14,20640,0,1
15,0,48,1
16,0,0,4
0,0,0,0
0,0,0,0
5,0,0,4
0,0,0,0
12,12900,46,1
0,3225,24,1
0,0,0,0
9,12900,0,1
11,0,0,4
8,0,0,4
20,28000,0,1
0,0,0,0
12,0,0,1
6,0,0,4
17,0,0,4
12,0,40,1
17,0,0,4
12,10750,70,1
0,0,0,0
9,12900,70,1
6,0,0,4
12,0,30,1
12,7000,48,1
0,0,0,0
0,0,0,0
6,0,46,1
0,0,0,0
6,0,63,1
9,20640,46,1
6,0,51,1
6,6450,72,1
7,0,0,4
12,0,0,2
17,30000,45,1
3,0,0,4
10,0,0,4
0,0,0,0
10,0,0,4
9,15480,45,1
12,8600,84,1
9,0,48,1
9,15050,45,1
15,0,0,3
0,0,0,0
6,0,17,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
12,22575,20,1
0,0,0,0
9,10750,48,1
6,0,0,4
0,0,0,0
0,0,0,0
9,11438,47,1
9,5160,35,1
9,17200,36,1
9,10000,50,1
16,2580,24,1
16,0,0,4
9,5200,32,1
8,0,0,4
6,0,0,4
12,24000,54,1
17,10000,40,1
16,10000,40,1
0,0,0,0
6,0,0,2
12,16000,0,1
12,30100,15,1
3,0,0,4
16,9000,48,1
0,0,0,0
9,17200,54,1
3,0,0,4
12,0,45,1
9,8000,42,1
6,7310,50,1
6,0,0,4
12,6665,56,1
17,16000,47,1
0,0,0,0
19,0,40,1
15,0,45,1
4,0,0,4
9,2580,5,1
9,21500,67,1
6,2580,18,1
5,10750,54,1
6,0,66,1
0,0,0,0
16,12300,48,1
9,6000,84,1
12,0,8,1
9,6450,47,1
12,10750,84,1
0,0,0,0
